cnpj,codigo,descricao
14323476000178,1813001,Impressão de material para uso publicitário
14323476000178,1813099,Impressão de material para outros usos
14323476000178,4541203,Comércio a varejo de motocicletas e motonetas novas
14323476000178,4541206,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas
14323476000178,4729699,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente
14323476000178,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
14323476000178,4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
14323476000178,4754701,Comércio varejista de móveis
14323476000178,4756300,Comércio varejista especializado de instrumentos musicais e acessórios
14323476000178,4759899,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente
14323476000178,4763601,Comércio varejista de brinquedos e artigos recreativos
14323476000178,4763602,Comércio varejista de artigos esportivos
14323476000178,4763603,Comércio varejista de bicicletas e triciclos; peças e acessórios
14323476000178,4763604,"Comércio varejista de artigos de caça, pesca e camping"
14323476000178,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"
14323476000178,4781400,Comércio varejista de artigos do vestuário e acessórios
14323476000178,4782201,Comércio varejista de calçados
14323476000178,4783102,Comércio varejista de artigos de relojoaria
14323476000178,4789001,"Comércio varejista de suvenires, bijuterias e artesanatos"
14323476000178,7319099,Outras atividades de publicidade não especificadas anteriormente
14323476000178,8219901,Fotocópias
14323476000178,8219999,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente
14323476000178,8291100,Atividades de cobranças e informações cadastrais
76535764000143,4221904,Construção de estações e redes de telecomunicações
76535764000143,4221905,Manutenção de estações e redes de telecomunicações
76535764000143,4652400,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
76535764000143,4751201,Comércio varejista especializado de equipamentos e suprimentos de informática
76535764000143,4752100,Comércio varejista especializado de equipamentos de telefonia e comunicação
76535764000143,6110803,Serviços de comunicação multimídia - SCM
76535764000143,6190601,Provedores de acesso às redes de comunicações
76535764000143,6190602,Provedores de voz sobre protocolo internet - VOIP
76535764000143,6190699,Outras atividades de telecomunicações não especificadas anteriormente
76535764000143,6202300,Desenvolvimento e licenciamento de programas de computador customizáveis
76535764000143,6203100,Desenvolvimento e licenciamento de programas de computador não-customizáveis
76535764000143,6204000,Consultoria em tecnologia da informação
76535764000143,6209100,"Suporte técnico, manutenção e outros serviços em tecnologia da informação"
76535764000143,6311900,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet"
76535764000143,6319400,"Portais, provedores de conteúdo e outros serviços de informação na internet"
76535764000143,6399200,Outras atividades de prestação de serviços de informação não especificadas anteriormente
76535764000143,6462000,Holdings de instituições não-financeiras
76535764000143,7319099,Outras atividades de publicidade não especificadas anteriormente
76535764000143,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador"
76535764000143,8211300,Serviços combinados de escritório e apoio administrativo
76535764000143,8291100,Atividades de cobranças e informações cadastrais
36169783000189,4322303,Instalações de sistema de prevenção contra incêndio
36169783000189,4642702,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho
