uf,cep,cnpj,pais,email,porte,bairro,numero,ddd_fax,municipio,logradouro,cnae_fiscal,codigo_pais,complemento,codigo_porte,razao_social,nome_fantasia,capital_social,ddd_telefone_1,ddd_telefone_2,opcao_pelo_mei,descricao_porte,codigo_municipio,natureza_juridica,situacao_especial,opcao_pelo_simples,situacao_cadastral,data_opcao_pelo_mei,data_exclusao_do_mei,cnae_fiscal_descricao,codigo_municipio_ibge,data_inicio_atividade,data_situacao_especial,data_opcao_pelo_simples,data_situacao_cadastral,nome_cidade_no_exterior,codigo_natureza_juridica,data_exclusao_do_simples,motivo_situacao_cadastral,ente_federativo_responsavel,identificador_matriz_filial,qualificacao_do_responsavel,descricao_situacao_cadastral,descricao_tipo_de_logradouro,descricao_motivo_situacao_cadastral,descricao_identificador_matriz_filial
MG,39680000,14323476000178,,,EMPRESA DE PEQUENO PORTE,CENTRO,60,3335164216,CAPELINHA,JUAREZ BARBOSA,4761003,,LOJA A,3,ARANAS PAPELARIA LTDA,,100000,3335163171,3391024029,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de artigos de papelaria,3112307,2011-09-20,,2011-09-20,2011-09-20,,2062,,0,,1,49,ATIVA,ALAMEDA,SEM MOTIVO,MATRIZ
RJ,20230070,76535764000143,,,DEMAIS,CENTRO,71,613073585,RIO DE JANEIRO,DO LAVRADIO,6110801,,ANDAR 2,5,OI S.A. - EM RECUPERACAO JUDICIAL,OI,32538937000,3131313131,,,,6001,Sociedade Anônima Aberta,,,2,,,Serviços de telefonia fixa comutada - STFC,3304557,1966-09-26,,,2005-11-03,,2046,,0,,1,64,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,36169783000189,,,MICRO EMPRESA,MARIA LUCIA,1932,,CAPELINHA,ANEL RODOVIARIO,3314710,,,1,CAPELINHA EXTINTORES LTDA,CAPELINHA EXTINTORES E SEGURANCA,30000,3391563202,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,3112307,2020-01-29,,2020-01-29,2020-01-29,,2062,,0,,1,49,ATIVA,RODOVIA,SEM MOTIVO,MATRIZ
MG,30180111,61198164000321,,,DEMAIS,LOURDES,1217,1133666050,BELO HORIZONTE,OLEGARIO MACIEL,6512000,,,5,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,,3088358400,1133666050,,,,4123,Sociedade Anônima Fechada,,,2,,,Sociedade seguradora de seguros não vida,3106200,1969-07-16,,,2005-11-03,,2054,,0,,2,10,ATIVA,AVENIDA,SEM MOTIVO,FILIAL
MG,39680000,40222993000160,,,MICRO EMPRESA,JARDIM AEROPORTO,41,,CAPELINHA,SUICA,4330403,,,1,SO GESSO CAPELINHA LTDA,SO GESSO CAPELINHA,180000,3391246693,,False,,4245,Sociedade Empresária Limitada,,False,8,,,Obras de acabamento em gesso e estuque,3112307,2020-12-28,,2021-01-01,2023-09-12,,2062,2023-09-12,1,,1,49,BAIXADA,AVENIDA,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MATRIZ
MG,30130062,07124577000154,,,DEMAIS,SANTA EFIGENIA,874,3138880000,BELO HORIZONTE,CARANDAI,4511101,,,5,AB COMERCIO DE VEICULOS LTDA,OSAKA VEICULOS TOYOTA,44680000,3121293000,3133038440,,,4123,Sociedade Empresária Limitada,,,2,,,"Comércio a varejo de automóveis, camionetas e utilitários novos",3106200,2004-11-18,,,,,2062,,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,35020430,22296587000160,,,MICRO EMPRESA,ILHA DOS ARAUJOS,62,,GOVERNADOR VALADARES,PIRACICABA,6202300,,,1,POLIS GESTAO E TECNOLOGIA DA INFORMACAO LTDA,POLIS GESTAO,30000,3388123747,,False,,4553,Sociedade Empresária Limitada,,False,2,,,Desenvolvimento e licenciamento de programas de computador customizáveis,3127701,2015-04-22,,2015-04-22,2015-04-22,,2062,2022-12-31,0,,1,49,ATIVA,AVENIDA,SEM MOTIVO,MATRIZ
MG,39705000,23433233000183,,,MICRO EMPRESA,Centro,71,,SAO JOAO EVANGELISTA,Coronel Cornelio Pimenta,5611203,,,1,THAIZA GONCALVES DIAS 11906411603,ESQUINAO DO LANCHE,1500,3388065445,,True,,5255,Empresário (Individual),,True,2,2015-10-07,,"Lanchonetes, casas de chá, de sucos e similares",3162807,2015-10-07,,2015-10-07,2015-10-07,,2135,,0,,1,50,ATIVA,PRACA,SEM MOTIVO,MATRIZ
MG,39680000,65242349000185,,,MICRO EMPRESA,AGUA SANTA,53,,CAPELINHA,INACIO MURTA,4712100,,,1,COMERCIAL AGUA SANTA LTDA,,20000,3335161775,,False,,4245,Sociedade Empresária Limitada,,True,2,,,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",3112307,1993-01-28,,2008-01-01,2005-11-03,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
MG,39680000,12467323000179,,,EMPRESA DE PEQUENO PORTE,CENTRO,703,3335164216,CAPELINHA,DOUTOR HERMELINDO,4761003,,,3,PAPEL & CIA LTDA,PAPEL & CIA,100000,3335161443,,False,,4245,Sociedade Empresária Limitada,,True,2,,,Comércio varejista de artigos de papelaria,3112307,2010-08-31,,2010-08-31,2010-08-31,,2062,,0,,1,49,ATIVA,RUA,SEM MOTIVO,MATRIZ
